,単語,意味
3227,back,後ろの
3228,come,来る
3229,workers,労働者（複数)
3230,world,世界
3231,long,長い
3232,money,お金
3233,able,能力のある
3234,see,見る
3235,around,～の周りに
3236,Ms.,ミス（女性の敬称）
3237,going,進んでいる、行っている
3238,end,終わり
3239,school,学校
3240,want,"欲しい,～を欲する、～を望む"
3241,needs,必要とする（三単現）、必要
3242,here,ここで
3243,being,存在
3244,days,日（複数）
3245,help,ヘルプ
3246,us,わたしたちに(を)
3247,off,オフ
3248,person,人
3249,give,与える
3250,small,小さな
3251,even,均等な、平等な
3252,tomorrow,明日
3253,employees,従業員（複数）
3254,children,子供たち
3255,sure,確かに
3256,might,～だったのに
3257,products,製品（複数）
3258,according,～による
3259,hours,時間（複数）
3260,really,本当に
3261,down,下に
3262,said,言った
3263,machine,機械
3264,president,社長
3265,same,同じ
3266,country,国
3267,morning,朝
3268,customers,顧客（複数）
3269,high,高い
3270,items,商品（複数）
3271,ad,広告
3272,A.M,午前
3273,ask,尋ねる
3274,P.M,午後
3275,times,回（複数）
3276,believe,信じる
3277,hotel,ホテル
3278,call,呼ぶ
3279,let,させる
3280,bus,バス
3281,ever,今までに
3282,having,を持つ
3283,making,作る
3284,need,必要とする、ニーズ
3285,within,～以内で
3286,working,働いている
3287,also,同様に
3288,card,カード
3289,didn’t,しなかった
3290,got,手に入れた
3291,put,置く
3292,computers,コンピュータ（複数）
3293,say,言う
3294,done,完了した
3295,past,過去
3296,m,メートル
3297,still,まだ
3298,using,使用している
3299,asked,質問した
3300,bank,銀行
3301,every,すべての
3302,letter,手紙
3303,movie,映画
3304,coffee,コーヒー
3305,less,より少ない
3306,doesn’t,ではない
3307,never,決して～ない
3308,called,呼んだ
3309,full,いっぱい、満腹
3310,problems,問題(複数)
3311,yesterday,昨日
3312,later,後で
3313,name,名前
3314,food,食べ物
3315,reading,読んでいる
3316,received,受信した、受け取った
3317,trip,旅
3318,afternoon,午後
3319,phone,電話
3320,then,そして、それから
3321,far,遠くへ
3322,taking,撮影、取っている
3323,wanted,指名手配の、欲しかった
3324,weekend,週末
3325,ago,～前
3326,Bob,ボブ
3327,mentioned,言及した
3328,someone,誰か
3329,thinks,～と考える
3330,whom,誰を（～する人）
3331,become,～になる
3332,companies,企業(複数)
3333,men,男、男性(複数)
3334,telephone,電話
3335,thank,感謝、感謝する
3336,went,行った
3337,countries,国(複数)
3338,plans,計画(複数)
3339,summer,夏
3340,won,勝った
3341,came,来た
3342,least,最もすくない
3343,little,小さい、少しの
3344,north,北
3345,passengers,乗客(複数)
3346,shoes,靴(複数)
3347,states,州(複数)、言う(三単現)
3348,tell,教える、伝える
3349,tickets,チケット(複数)
3350,changes,変更(複数)
3351,game,ゲーム
3352,lunch,昼食
3353,months,月(複数)
3354,restaurant,レストラン
3355,seen,見られる
3356,try,挑戦する
3357,appears,が現れる(三単現)
3358,keep,保持する
3359,look,見る
3360,truck,トラック
3361,almost,ほとんど
3362,date,日付
3363,everyone,みんな
3364,feel,感じる
3365,golf,ゴルフ
3366,left,左、去った
3367,night,夜
3368,old,古い
3369,paper,紙
3370,play,遊ぶ、(演奏)する
3371,questions,質問(複数)
3372,taken,取られた、連れていかれた
3373,point,ポイント
3374,usually,普通は
3375,drive,運転する
3376,hour,時間
3377,Oh,オー（驚き）
3378,away,離れて
3379,businesses,ビジネス(複数)
3380,desk,机
3381,doing,～している
3382,enjoy,楽しむ
3383,members,メンバー(複数)
3384,soap,せっけん
3385,south,南
3386,bad,悪い
3387,front,フロント、前
3388,future,将来、未来
3389,gift,贈り物
3390,heard,聞いた
3391,longer,長く
3392,lost,失った
3393,plane,飛行機、平面
3394,airport,空港
3395,decided,決定した
3396,something,何か
3397,things,物(複数)
3398,united,一致団結した
3399,viruses,ウイルス(複数)
3400,whose,誰の
3401,anything,何か
3402,couldn't,～できなかった
3403,software,ソフトウェア
3404,none,何もない
3405,seems,～に見える(三単現)
3406,looking,探している
3407,saw,見た
3408,sent,送った
3409,season,シーズン、季節
3410,human,人間
3411,types,種類(複数)
3412,station,駅
3413,coming,来ている
3414,took,取った、撮った
3415,big,大きい
3416,group,グループ
3417,happen,起こる
3418,among,～の間に
3419,outside,外側
3420,prices,価格（複数形)
3421,Jack,ジャック
3422,considered,検討した
3423,word,言葉
3424,wrong,間違った
3425,against,～に対して
3426,rain,雨
3427,getting,得ている
3428,newspaper,新聞
3429,model,モデル
3430,second,2番目、秒
3431,students,学生(複数)
3432,takes,かかる、連れていく(三単現)
3433,parents,両親
3434,worked,仕事
3435,designed,設計した
3436,allowed,許可された
3437,music,音楽
3438,art,アート
3439,Re,返信
3440,Dr.,ドクター
3441,wonderful,素晴らしい
3442,completed,完了した
3443,supposed,想定した
3444,middle,中間
3445,Friday,金曜日
3446,Christmas,クリスマス
3447,life,生活、人生
3448,says,言う(三単現)
3449,cars,車(複数)
3450,across,交差して
3451,internet,インターネット
3452,arrived,到着した
3453,larger,より大きい
3454,interested,興味のある
3455,speak,話す
3456,power,権力
3457,technology,技術
3458,known,知られている
3459,event,イベント
3460,areas,地域(複数)
3461,higher,より高い
3462,wide,幅広い
3463,other’s,他人の
3464,feels,感じる(三単現)
3465,strike,ストライキ
3466,one’s,～のもの
3467,expected,期待
3468,popular,人気
3469,produced,生産した
3470,speaker,スピーカー、話し手
3471,community,共同体
3472,caused,引き起こされた
3473,culture,文化
3474,clients,顧客(複数)
3475,schools,学校
3476,ships,船(複数)
3477,quickly,素早く
3478,pick,選ぶ
3479,stay,滞在する
3480,form,フォーム
3481,beginning,初めて
3482,top,頂上
3483,virus,ウイルス
3484,roads,道路(複数)
3485,union,組合
3486,late,遅れた
3487,brochures,パンフレット、小冊子(複数)
3488,answer,答え
3489,owner,所有者、オーナー
3490,closed,閉鎖した
3491,New York,ニューヨーク
3492,works,作品(複数)
3493,believes,と信じる(三単現)
3494,built,建てられた
3495,makes,つくる、させる(三単現)
3496,gate,ゲート、門
3497,international,国際的な
3498,diamond,ダイヤモンド
3499,needed,必要とした
3500,New Zealand,ニュージーランド
3501,London,ロンドン
3502,told,話した
3503,reports,レポート(複数)
3504,cannot,～できない
3505,players,選手(複数)
3506,required,要求された
3507,care,気にする
3508,costs,費用(複数)
3509,directors,取締役、監督(複数)
3510,interesting,興味深い
3511,showing,表している
3512,trying,試している
3513,women,女性(複数)
3514,bicycle,自転車
3515,planning,計画している
3516,young,若い
3517,offices,オフィス(複数)
3518,clean,汚れのない
3519,evening,晩
3520,eat,食べる
3521,boat,ボート、船
3522,editorial,社説の、編集の
3523,American,アメリカの、アメリカ人の
3524,Asia,アジア
3525,contracts,契約(複数)
3526,anyone,誰か
3527,John,ジョン
3528,baseball,野球
3529,color,色
3530,suggests,提案する（三単現)
3531,single,単一の
3532,child,子供
3533,thing,物
3534,America,アメリカ
3535,wife,妻
3536,hear,聞く
3537,engine,エンジン
3538,sale,販売、セール
3539,books,本(複数)
3540,jim,ジム
3541,feet,フィート
3542,gone,goの過去分詞
3543,systems,システム(複数)
3544,doctor,医師
3545,hot,熱い、辛い
3546,conditions,条件(複数)
3547,largest,最大
3548,road,道路
3549,Vancouver,バンクーバー
3550,century,世紀
3551,knows,知っている(三単現)
3552,copies,コピー(複数)
3553,meetings,会議(複数)
3554,fax,ファックス、ファックスする
3555,Chicago,シカゴ
3556,documents,ドキュメント(複数)
3557,french,フランス語、フランス人の
3558,email,Eメール
3559,ground,地面
3560,happy,幸せな
3561,live,生活する、住む
3562,hopes,期待している(三単現)
3563,sports,スポーツ
3564,half,半分
3565,online,オンライン
3566,machines,機械(複数)
3567,magazine,雑誌
3568,bluetooth,ブルートゥース（通信）
3569,held,開催した
3570,turn,振り返る、返る
3571,Sam,サム
3572,fish,魚
3573,white,白
3574,police,警察
3575,easy,簡単な
3576,student,学生
3577,europe,ヨーロッパ
3578,dollars,ドル(複数)
3579,cheese,チーズ
3580,beautiful,美しい
3581,programs,プログラム(複数)
3582,California,カリフォルニア
3583,asking,求める
3584,dear,親愛なる
3585,lake,湖
3586,accounting,会計
3587,dog,犬
3588,street,ストリート、通り
3589,surprised,驚いた
3590,television,テレビ
3591,miles,マイル(複数)
3592,follow,～に従う
3593,tonight,今夜
3594,fill,満ちる
3595,accident,事故
3596,classes,クラス(複数)
3597,felt,感じた
3598,returned,返した
3599,smaller,より小さい
3600,gas,ガス
3601,western,西部の
3602,gets,取得する(三単現)
3603,parts,部品(複数)
3604,milk,牛乳
3605,clock,クロック
3606,wine,ワイン
3607,sold,販売した
3608,started,開始した
3609,Jones,ジョーンズ
3610,discussing,議論している
3611,Jill,ジル
3612,became,になった
3613,universities,大学
3614,short,短い
3615,tub,浴槽
3616,libraries,図書館(複数)
3617,European,欧州の
3618,nor,もない
3619,benefits,メリット(複数)、利益を得る(三単現)
3620,level,レベル
3621,easily,簡単に
3622,itself,自分自身
3623,repaired,修理した
3624,watch,腕時計
3625,family,家族
3626,foot,足
3627,ways,方法、道(複数)
3628,radio,ラジオ
3629,billboard,看板
3630,nothing,何もない
3631,writing,書いている
3632,purchased,購入した
3633,agrees,同意する(三単現)
3634,visitors,訪問者(複数)
3635,wall,壁
3636,living,生活している、住んでいる
3637,finished,終了した
3638,love,愛、愛する
3639,delivered,配信した、運んだ
3640,materials,材料(複数)
3641,stop,停止する
3642,light,光
3643,pieces,個(複数)
3644,sunday,日曜日
3645,theater,劇場
3646,mean,意味する
3647,giving,与えている
3648,Fred,フレッド
3649,support,サポート、サポートする
3650,oil,石油
3651,hand,手
3652,forms,形作る(三単現)、形(複数)
3653,bed,ベッド
3654,island,島
3655,east,東
3656,black,黒
3657,April,4月
3658,buildings,建物(複数)
3659,increased,増加した
3660,designs,設計する(三単現)
3661,policies,政策、信念(複数)
3662,submitted,提出した
3663,calls,電話する、呼ぶ(三単現)
3664,Monday,月曜日
3665,final,最終的な、最後
3666,records,レコード、記録(複数)
3667,Mrs.,ミセス
3668,happened,起こった
3669,airplane,飛行機
3670,third,3番目
3671,anywhere,どこにでも
3672,January,1月
3673,corps,隊、集団(複数)
3674,playing,(演奏、運動)している
3675,spring,春
3676,success,成功
3677,Smith,スミス
3678,heavy,重い
3679,comes,来る(三単現)
3680,club,クラブ
3681,addition,また、追加
3682,swimming,水泳
3683,west,西
3684,banknotes,紙幣
3685,written,書かれた
3686,Boston,ボストン
3687,Japan,日本
3688,digital,デジタル
3689,safety,安全性
3690,offers,を提案する(三単現)
3691,driving,運転している
3692,non,違った、ない
3693,blue,青
3694,guests,ゲスト(複数)
3695,town,街
3696,control,制御
3697,percent,パーセント
3698,cleaning,洗浄、掃除している
3699,door,ドア
3700,champagne,シャンパン
3701,met,会った
3702,upon,～の上に
3703,bought,買った
3704,older,より古い
3705,cleaned,掃除した
3706,chain,チェーン、鎖
3707,worker,労働者
3708,advice,忠告、アドバイス
3709,pool,プール、水たまり
3710,Mexico,"メキシコ,メキシコ"
3711,act,行動、演じる
3712,action,アクション、行動
3713,parking,駐車場
3714,taxi,タクシー
3715,source,源
3716,activities,活動(複数)
3717,helped,助けた
3718,safe,安全な
3719,link,リンク、つながる
3720,fewer,少ない
3721,sailboat,ヨット
3722,himself,彼自身
3723,likes,好き(三単現)
3724,degrees,度、角度(複数)
3725,running,走っている、経営している
3726,Wednesday,水曜日
3727,thanks,ありがとう
3728,looks,見える(三単現)
3729,facilities,施設(複数)
3730,cold,冷たい
3731,Tokyo,東京
3732,test,試験
3733,mountain,山
3734,user,ユーザ
3735,Saturday,土
3736,waiting,待っている
3737,locations,場所(複数)
3738,ice,氷
3739,June,6月
3740,profits,利益を得る(三単現)
3741,Canada,カナダ
3742,enter,入る、入力する
3743,phones,電話(複数)
3744,million,百万
3745,basic,基本的な
3746,noticed,注目した
3747,issues,問題(複数)
3748,sending,送ってしている
3749,toward,～の方へ
3750,history,歴史
3751,talking,話している
3752,services,サービス(複数)
3753,visited,訪問した
3754,scheduled,予定した
3755,ski,スキー、スキーする
3756,leaving,去っている
3757,containers,容器(複数)
3758,offered,申し出た
3759,organizational,組織の
3760,pictures,絵、写真(複数)
3761,winter,冬
3762,Paris,パリ
3763,seats,席(複数)
3764,elementary,小学(校)
3765,leaves,葉(複数)
3766,recycling,リサイクル
3767,followed,続いた
3768,apartment,アパート
3769,carrying,運んでいる
3770,funds,資金(複数)
3771,English,英語
3772,buying,買っている
3773,hacker,"ハッカー,hacker"
3774,pair,ペア
3775,drink,飲む、飲料
3776,friends,友人(複数)
3777,tennis,テニス
3778,created,創造した、作成した
3779,along,～に沿って
3780,animals,動物(複数)
3781,gives,を与える
3782,hadn’t,～しなかった
3783,fishing,釣り
3784,skin,皮、皮膚
3785,earth,地球
3786,beach,浜辺、ビーチ
3787,Douglas,ダグラス
3788,china,中国
3789,calling,呼び出している
3790,space,スペース
3791,putting,置いている
3792,Mark,マーク
3793,bottle,ボトル
3794,began,を開始した
3795,shouldn’t,するべきでない
3796,airlines,航空会社(複数)
3797,Susan,スーザン
3798,reduced,減少した
3799,teachers,教師
3800,selling,販売している
3801,ideas,アイデア(複数)
3802,projects,プロジェクト(複数)
3803,Steve,スティーブ
3804,Angeles,アンジェルス
3805,driver,ドライバー
3806,racing,レースをしている
3807,web,ウェブ
3808,cabin,キャビン
3809,angry,怒って
3810,counter,カウンター、相対する
3811,ordered,指示をした
3812,understanding,理解している
3813,soup,スープ
3814,games,ゲーム(複数)
3815,network,ネットワーク
3816,emergency,緊急
3817,brought,持ってきた
3818,aspects,側面、外観(複数)
3819,units,ユニット(複数)
3820,side,側面
3821,broken,壊れた
3822,provides,を提供する(三単現)
3823,discovered,発見した
3824,hall,ホール、玄関
3825,homes,住宅、家(複数)
3826,gold,金
3827,automation,自動化
3828,events,イベント
3829,compared,比較した
3830,red,赤
3831,lunchroom,食堂
3832,cream,クリーム
3833,Johnson,ジョンソン
3834,Japanese,日本語、日本人の
3835,chairs,椅子(複数)
3836,delays,遅延する（三単現）
3837,pier,桟橋
3838,twice,2回
3839,boots,ブーツ
3840,metal,金属
3841,difference,差、違い
3842,owners,所有者(複数)
3843,Denison,デニソン
3844,breakfast,朝食
3845,shopping,ショッピング
3846,included,含まれていた
3847,goals,目標(複数)
3848,looked,見えた
3849,gave,を与えた
3850,printer,プリンター
3851,moving,移動している
3852,Sir,男性の敬称
3853,packages,パッケージ(複数)
3854,vehicles,車(複数)
3855,greater,より大きい
3856,increases,増加
3857,medium,中間の
3858,mentions,言及する、述べる(三単現)
3859,signed,署名した
3860,replaced,置き換えた
3861,ferry,フェリー
3862,rates,割合、レート(複数)
3863,offering,を提案している
3864,smoke,吸う、煙
3865,details,詳細(複数)
3866,charges,料金(複数)
3867,reasons,理由(複数)
3868,placed,配置した
3869,pacific,太平洋の
3870,contains,を含む(三単現)
3871,accounts,アカウント、口座(複数)
3872,festival,祭り
3873,covered,覆われた
3874,arrives,到着(三単現)
3875,umbrellas,傘(複数)
3876,filing,満たしている
3877,starting,開始している
3878,ran,走った
3879,David,デビッド
3880,cities,都市(複数)
3881,chips,チップ(複数)
3882,smoking,喫煙している、喫煙
3883,Hong Kong,香港
3884,king,王
3885,skiing,スキーをしている
3886,teaching,教えている
3887,worried,心配した
3888,pounds,ポンド(複数)
3889,cell,細胞
3890,sheet,用紙
3891,provided,提供した
3892,points,ポイント(複数)
3893,institutions,機関(複数)
3894,northern,北部の
3895,husband,夫
3896,Shanghai,上海
3897,uses,使用する(三単現)
3898,Singapore,シンガポール
3899,microwave,電子レンジ
3900,pet,ペット
3901,spot,スポット
3902,fail,失敗する
3903,residents,住民(複数) 
3904,tests,テスト(複数)
3905,turned,振り返った
3906,advised,忠告した
3907,British,英国人
3908,animal,動物
3909,box,ボックス
3910,groups,グループ(複数)
3911,poor,貧しい
3912,bags,かばん(複数) 
3913,cheaper,より安い
3914,buses,バス(複数) 
3915,eating,食べている
3916,ride,乗る、乗車
3917,Australia,オーストラリア
3918,tours,ツアー(複数)
3919,enjoyed,楽しんだ
3920,stand,立つ
3921,manufacturing,製造している
3922,drivers,ドライバー(複数) 
3923,energy,エネルギー
3924,believed,信じた
3925,worms,虫(複数) 
3926,programming,プログラミング
3927,zoo,動物園
3928,invented,発明した
3929,volunteers,ボランティア(複数)
3930,sooner,早く
3931,letters,手紙(複数)
3932,knife,ナイフ
3933,floods,洪水(複数) 
3934,moved,移動した、感動した
3935,website,ウェブサイト
3936,broke,壊れた
3937,operating,作動している
3938,July,7月
3939,courses,コース(複数)
3940,speed,速度
3941,cell phone,携帯電話
3942,tasks,タスク、仕事(複数)
3943,England,イングランド
3944,goes,行く(三単現)
3945,changed,変わった
3946,eastern,東部の
3947,devices,デバイス、装置(複数)
3948,silk,絹
3949,friend,友人
3950,dinner,夕食
3951,Kennedy,ケネディ
3952,speakers,スピーカー(複数)
3953,markets,市場(複数)
3954,ok,OK
3955,force,力
3956,sun,太陽
3957,salespeople,販売員(複数)
3958,Michigan,ミシガン
3959,spa,"スパ,スパ"
3960,efforts,努力(複数)
3961,central,中心の
3962,bonus,ボーナス
3963,increasing,増加している
3964,developing,開発している
3965,ocean,海
3966,fall,落ちる
3967,Chinese,中国語、中国人
3968,toothbrush,歯ブラシ
3969,Wilson,ウィルソン
3970,motorcycle,"オートバイ,自動二輪車"
3971,fast,速い
3972,kitchen,台所
3973,stores,店舗(複数)
3974,December,12月
3975,clay,粘土
3976,newest,最新の
3977,sitting,座っている
3978,careful,注意した
3979,hoped,望んだ、期待した
3980,birds,鳥(複数)
3981,storm,嵐
3982,floppy,フロッピー
3983,Nellie,ネリー
3984,everything,すべて
3985,models,モデル(複数)
3986,finding,探している
3987,Miami,マイアミ
3988,themselves,彼ら
3989,bigger,より大きい
3990,windows,窓(複数)
3991,passed,通った
3992,discounts,割引(複数) 
3993,silver,銀
3994,Smyth,スミス
3995,step,ステップ、段
3996,Egypt,エジプト
3997,additionally,さらに
3998,text,文章、テキスト
3999,communication,通信
4000,strong,強い
4001,purchasing,購買している
4002,Thursday,木曜日
4003,error,エラー
4004,Berlin,ベルリン
4005,brown,茶色
4006,providing,提供している
4007,player,プレーヤー、選手
4008,temperatures,気温(複数)
4009,played,演奏
4010,complained,不満のあった
4011,responses,回答(複数)
4012,places,場所(複数)
4013,dishes,お皿(複数)
4014,carpet,カーペット
4015,files,ファイル(複数)
4016,begun,開始された
4017,cruise,クルーズ
4018,walking,歩いている
4019,flowers,花(複数) 
4020,sister,姉妹
4021,grades,グレード、位
4022,greatest,最も素晴らしい
4023,bakery,パン屋
4024,Richards,リチャード
4025,ads,広告(複数)
4026,cell phones,携帯電話(複数)
4027,cases,ケース、事例(複数)
4028,fog,霧
4029,umbrella,傘
4030,biggest,最大
4031,enclosed,同封された
4032,closing,閉会
4033,concerns,心配する(三単現)
4034,pickup,迎えに行く
4035,diet,ダイエット
4036,applicants,応募者(複数) 
4037,.com,ドットコム
4038,trees,木(複数)
4039,supermarket,スーパーマーケット
4040,ordering,発注している
4041,cutting,切っている
4042,skis,スキーする(三単現)
4043,visiting,訪問している
4044,San Francisco,サンフランシスコ
4045,writers,作家(複数)
4046,shoe,靴
4047,soil,土壌
4048,mountains,山(複数) 
4049,war,戦争
4050,Victoria,ビクトリア
4051,proposed,提案した
4052,traveling,旅行している
4053,taste,味
4054,shows,見せる(三単現)
4055,walk,歩く、散歩
4056,pound,ポンド
4057,affected,影響を受ける
4058,sugar,砂糖
4059,page,ページ
4060,rules,ルール(複数)
4061,rights,権利(複数) 
4062,learning,学んでいる
4063,mile,マイル
4064,cleaner,クリーナー
4065,inches,インチ(複数) 
4066,round,ラウンド、円
4067,studying,勉強している
4068,liked,好いた
4069,carried,運んだ
4070,amounts,量(複数) 
4071,trail,歩道
4072,colleagues,同僚(複数)
4073,served,サービス
4074,appeared,登場した
4075,band,バンド
4076,race,レース
4077,coast,海岸
4078,jobs,仕事(複数)
4079,unions,労働組合(複数)
4080,leather,革
4081,vacuum,吸いこむ、掃除する
4082,signs,標識、印(複数) 
4083,sandy,砂
4084,allows,許す(三単現)
4085,connected,接続した
4086,Africa,アフリカ
4087,completing,完了している
4088,inexpensive,安価な
4089,airline,航空会社
4090,specifically,特に
4091,window,ウィンドウ
4092,pressure,圧力
4093,apple,リンゴ
4094,upgraded,アップグレードした
4095,orders,受注(複数) 
4096,wrote,書いた
4097,bread,パン
4098,normal,通常の
4099,afraid,恐れて
4100,picnic,ピクニック
4101,Canadian,カナダの、カナダ人の
4102,potato,ジャガイモ
4103,announced,発表した
4104,numbers,数字(複数) 
4105,applying,適用している
4106,wood,木
4107,paragraph,段落
4108,ours,私たちの
4109,fell,倒す
4110,secretaries,秘書(複数) 
4111,Hanson,ハンソン
4112,newspapers,新聞(複数) 
4113,minor,マイナー
4114,powerful,強力な
4115,forgotten,忘れた
4116,November,11月
4117,matters,事項(複数) 
4118,effects,効果(複数) 
4119,issued,問題のあった
4120,diamonds,ダイヤモンド(複数) 
4121,Franklin,フランクリン
4122,pretty,かわいい
4123,facing,直面している
4124,occurred,発生した
4125,figures,フィギュア、人形(複数) 
4126,herself,彼女自身
4127,finishing,仕上げ
4128,nice,素敵な
4129,planned,計画した
4130,pricing,価格
4131,France,フランス
4132,joined,加わった
4133,sends,送る(三単現)
4134,Mary,メアリー
4135,requires,要求する(三単現)
4136,lived,住んだ
4137,Dallas,ダラス
4138,sentence,文
4139,Duncan,ダンカン
4140,flavor,風味
4141,fly,飛ぶ
4142,gym,ジム
4143,football,フットボール
4144,disagrees,反対する（三単現）
4145,Italian,イタリア語、イタリア人
4146,expecting,期待
4147,dialog,会話記録
4148,marketing,マーケティング
4149,haven,避難所
4150,departments,部門(複数) 
4151,frank,率直
4152,levels,レベル
4153,repairs,修理(複数) 
4154,hired,採用した
4155,counties,郡(複数) 
4156,contacting,お問い合わせ
4157,missed,欠いた
4158,disasters,災害(複数) 
4159,cordless,コードレス
4160,discounted,値下げした
4161,fat,ふとった
4162,roast,焙る
4163,receipts,領収書(複数) 
4164,managers,マネージャー(複数) 
4165,danger,危険
4166,noon,正午
4167,depends,頼る(三単現)
4168,names,名前(複数) 
4169,dry,乾かす、乾いた
4170,clubs,クラブ(複数) 
4171,bound,～行きの
4172,classical,古典の
4173,districts,地区(複数) 
4174,Daniel,ダニエル
4175,southern,南部の
4176,billboards,看板(複数) 
4177,carriers,キャリア
4178,desks,机(複数)
4179,theirs,かれらの
4180,singing,歌っている
4181,audio,オーディオ
4182,TV,テレビ
4183,displays,表示する(三単現)
4184,boats,ボート(複数)
4185,William,ウィリアム
4186,ceremony,式
4187,communities,コミュニティ(複数)
4188,electronics,エレクトロニクス
4189,earthquake,地震
4190,vet,VEの
4191,applications,適用、出願書(複数)
4192,September,9月
4193,corner,コーナー、角
4194,centers,中心
4195,sweater,セーター
4196,catch,捕まえる
4197,touch,触る
4198,disk,ディスク
4199,easier,より簡単な
4200,begins,開始(三単現)
4201,checking,チェックしている
4202,van,"バン,(屋根付き)トラック"
4203,complaints,苦情(複数)
4204,tower,塔
4205,speaking,話している
4206,discussed,議論した
4207,tables,テーブル(複数)
4208,Vermont,バーモント
4209,attached,付属の
4210,style,スタイル
4211,age,年齢
4212,studied,勉強した
4213,colors,色(複数)
4214,adults,大人(複数)
4215,banks,銀行
4216,stated,述べた
4217,candidates,候補者
4218,teacher,先生
4219,campus,キャンパス
4220,CD,CDの
4221,duties,職務、義務
4222,dangers,危険性
4223,contacted,連絡した
4224,chosen,選択された
4225,sounds,音
4226,Denmark,デンマーク
4227,brain,"脳,脳"
4228,cross,交差する、渡る
4229,confused,混乱した
4230,Tuesday,火曜日
4231,knew,知っていた
4232,engines,エンジン(複数)
4233,rocky,岩の
4234,reached,到達した
4235,operations,操作(複数)
4236,refers,参照する(三単現)
4237,presented,提示した
4238,meal,食事
4239,fees,手数料(複数)
4240,lines,行、線(複数)
4241,rivers,河川(複数)
4242,mine,わたしのもの
4243,knowing,知っている
4244,planes,飛行機(複数)
4245,helps,助ける(三単現)
4246,friendly,優しい
4247,notes,ノート
4248,freeway,高速道路
4249,highway,高速道路
4250,functionality,機能的に
4251,removed,取り除いた
4252,Peter,ピーター
4253,restroom,トイレ
4254,essentially,本質的に
4255,immediate,即時の
4256,ozone,オゾン
4257,houses,住宅、家(複数)
4258,lives,生きる(三単現)
4259,leader,指導者
4260,opinions,意見(複数)
4261,rooms,部屋(複数)
4262,magic,魔法
4263,operators,演算子
4264,picture,写真
4265,satellite,衛星
4266,expenses,費用(複数)
4267,recording,録音している
4268,hygiene,衛生
4269,schedules,スケジュール(複数)
4270,errors,エラー、失敗(複数)
4271,guard,ガード、守り
4272,initially,最初に
4273,optimum,最適
4274,representatives,代表者(複数)
4275,established,設立した
4276,hundreds,何百もの
4277,Norway,ノルウェー
4278,percentage,割合
4279,routes,路線(複数)
4280,failed,失敗した
4281,manufacturers,メーカー、製造者(複数)
4282,Mike,マイク
4283,improved,改善した
4284,holding,持ち株
4285,returning,戻っている
4286,reserved,予約した
4287,methods,メソッド、方策(複数)
4288,filled,満たされた
4289,forgot,忘れた
4290,meaning,意味
4291,engineering,エンジニアリング
4292,healthy,健康
4293,movies,映画(複数)
4294,holidays,休日(複数)
4295,faster,より速い
4296,added,追加した
4297,advertised,宣伝した
4298,spoke,話した
4299,damaged,破損した
4300,academy,アカデミー
4301,body,体
4302,virtually,仮想上
4303,battery,バッテリー
4304,disappointed,がっかりした
4305,worse,より悪い
4306,coat,コート
4307,stored,保存した
4308,chip,チップ
4309,ties,縛る、結ぶ(三単現)
4310,commercially,商業的に
4311,boomerang,ブーメラン
4312,words,言葉(複数)
4313,brother,兄弟
4314,brush,ブラシ
4315,unlike,とは違って
4316,chef,シェフ
4317,southeast,南東の
4318,Celsius,摂氏
4319,badly,ひどい
4320,charged,請求
4321,doctors,医師(複数)
4322,survived,生き残った
4323,dance,ダンス
4324,carpets,カーペット(複数)
4325,skills,技術(複数)
4326,seemed,～に見えた
4327,advertisers,広告主(複数)
4328,born,生まれつきの
4329,batteries,電池(複数)
4330,decisions,決定、決心(複数)
4331,stolen,盗難された
4332,birthday,誕生日
4333,attending,出席
4334,sick,病気の
4335,spoken,話された
4336,announcer,アナウンサー
4337,sleep,眠る
4338,cheapest,最も安い
4339,accountants,会計士(複数)
4340,warm,暖かい
4341,clothes,衣類(複数)
4342,suggested,提案した
4343,boarding,搭乗
4344,selected,選択した
4345,vp,副社長
4346,block,ブロック
4347,Calgary,カルガリー
4348,camera,カメラ
4349,tried,試した
4350,spending,費やしている
4351,steps,手順(複数)
4352,technicians,技術者(複数)
4353,corp.,～社
4354,tall,背が高い
4355,authorized,承認した
4356,deciding,決心している
4357,sit,座る
4358,trains,電車(複数)
4359,bungy,消しゴム
4360,continued,継続した
4361,cash,現金
4362,factors,要因(複数)
4363,hearing,聴覚
4364,dollar,ドル
4365,organizations,組織(複数)
4366,produces,生産する(三単現)
4367,Melbourne,メルボルン
4368,fans,ファン(複数)
4369,earlier,以前の
4370,machinery,機械
4371,funding,資金調達
4372,examined,検討した
4373,helping,支援している
4374,filling,充てんしている
4375,listen,聴く
4376,hoping,期待している
4377,highest,最も高い
4378,metals,金属(複数)
4379,purchases,購入する(三単現)
4380,lacks,欠乏(複数)
4381,earliest,最も早い
4382,officials,公務員(複数)
4383,picked,選んだ
4384,producing,生産している
4385,dropped,落ちた
4386,glad,うれしい
4387,owned,所有した
4388,dogs,犬(複数)
4389,psychological,心理的な
4390,interests,興味(複数)
4391,Donald,ドナルド
4392,Joan,ジョアン
4393,intent,意図
4394,hiring,雇用
4395,drinks,飲む(三単現)
4396,photos,写真(複数)
4397,Joe,ジョー
4398,installed,インストールした
4399,includes,を含む(三単現)
4400,Greg,グレッグ
4401,Jenkins,ジェンキンス
4402,positions,ポジション(複数)
4403,opportunities,機会(複数)
4404,ended,終了した
4405,led,主導した
